古树名木类别,调查号,树种中文名,消失古树,树种拉丁名,科,属,乡镇名称,村名称,小地名,位置,横坐标,纵坐标,分布,权属,真实树龄,估测树龄,古树等级,树高,胸围,平均冠幅,东西冠幅,南北冠幅,海拔,坡向,坡度,坡位,土壤名称,生长势,生长环境,影响生长环境因素,现存状态,古树历史,管护人单位,管护人,树木特殊状况描述,树种鉴定记载,地上保护现状,养护复壮现状,照片（照片名称，逗号分隔）,图片说明,调查人,调查日期,审核人,审核日期,特征编码,名木类别,名木栽植人,名木栽植时间,备注,,,
古树,14503,黄葛树,,Ficus virens Ait. var. sublanceolata (Miq.) Corner,桑科,榕属,余家镇,九龙村委会,杨家坪,乡村,107.9645900,30.8314900,散生,集体,135,135,三级,11,360,6,6,6,340,南,20,中部,黄壤,衰弱株,良好,无,无,无,余家镇九龙村,余家镇九龙村,无,无,"避雷针,","其它,",,无,彭川河,2017-05-29,蔡孔瑜,2018-05-04,1 3 2110 0135 110 0360 006 2 1,纪念树,,2018-05-19,,,,
古树,14504,黄连木,,Pistacia chinensis Bunge,漆树科,黄连木属,余家镇,九龙村委会,田冲子,乡村,107.9584600,30.8344700,散生,集体,105,105,三级,16,240,11,11,11,495,南,20,下部,黄壤,正常株,良好,无,无,无,余家镇九龙村,余家镇九龙村,无,无,"避雷针,","其它,",,无,彭川河,2017-05-29,蔡孔瑜,2018-05-04,1 3 1201 0105 160 0240 011 1 1,纪念树,,2018-05-19,,,,
古树,14505,柞木,,Xylosma racemosum (Sieb. Et Zucc.) Miq.,大风子科,柞木属,余家镇,九龙村委会,田冲子,乡村,107.9583900,30.8343900,散生,集体,125,125,三级,6,210,4,4,4,495,南,20,下部,黄壤,濒危株,良好,无,无,无,余家镇九龙村,余家镇九龙村,无,无,"避雷针,","其它,",,无,彭川河,2017-05-29,蔡孔瑜,2018-05-04,1 3 1598 0125 060 0210 004 3 1,纪念树,,2018-05-19,,,,
古树,14530,黄葛树,2018年风倒,Ficus virens Ait. var. sublanceolata (Miq.) Corner,桑科,榕属,余家镇,邵家村委会,窑厂岭,乡村,107.9141000,30.7639900,散生,集体,209,209,三级,12,340,7,7,7,470,东北,5,脊部,黄壤,衰弱株,良好,无,无,无,余家镇邵家村,余家镇邵家村,无,无,"避雷针,","其它,",,无,彭川河,2017-05-30,蔡孔瑜,2018-05-04,1 3 2110 0209 120 0340 007 2 1,纪念树,,2018-05-19,已销号,,,
古树,14506,合欢,,Albizia julibrissin Durazz,豆科,合欢属,余家镇,九龙村委会,田冲子,乡村,107.9591900,30.8349700,散生,集体,100,100,三级,16,360,9,11,8,460,西南,5,下部,黄壤,正常株,良好,无,遗漏树木,无,余家镇九龙村,余家镇九龙村,无,无,"避雷针,","其它,",,无,彭川河,2017-05-29,蔡孔瑜,2018-05-04,1 3 1053 0100 160 0360 009 1 1,纪念树,,2018-05-19,,,,
古树,14507,黄葛树,,Ficus virens Ait. var. sublanceolata (Miq.) Corner,桑科,榕属,余家镇,饶家村委会,花庙,乡村,107.9388900,30.8279900,散生,集体,115,115,三级,14,350,11,12,11,390,东,5,山谷,黄壤,衰弱株,良好,无,无,无,余家镇饶家村,余家镇饶家村,无,无,"避雷针,","其它,",,无,彭川河,2017-05-29,蔡孔瑜,2018-05-04,1 3 2110 0115 140 0350 011 2 1,纪念树,,2018-05-19,,,,
古树,14508,黄葛树,,Ficus virens Ait. var. sublanceolata (Miq.) Corner,桑科,榕属,余家镇,饶家村委会,延龄桥边,乡村,107.9452000,30.8239000,散生,集体,115,115,三级,12,410,12,12,13,355,东北,20,山谷,黄壤,衰弱株,差,房屋，岩石,无,无,余家镇饶家村,余家镇饶家村,无,无,"避雷针,","其它,",,无,彭川河,2017-05-29,蔡孔瑜,2018-05-04,1 3 2110 0115 120 0410 012 2 3,纪念树,,2018-05-19,,,,
古树,14509,黄葛树,,Ficus virens Ait. var. sublanceolata (Miq.) Corner,桑科,榕属,余家镇,饶家村委会,延龄桥,乡村,107.9454900,30.8235900,散生,集体,115,115,三级,8,280,12,15,9,355,西南,20,山谷,黄壤,衰弱株,良好,无,无,无,余家镇饶家村,余家镇饶家村,无,无,"避雷针,","其它,",,无,彭川河,2017-05-29,蔡孔瑜,2018-05-04,1 3 2110 0115 080 0280 012 2 1,纪念树,,2018-05-19,,,,
古树,14510,黄葛树,,Ficus virens Ait. var. sublanceolata (Miq.) Corner,桑科,榕属,余家镇,饶家村委会,梯子岩,乡村,107.9436000,30.8208000,散生,集体,105,105,三级,10,250,8,8,8,480,东南,20,上部,黄壤,衰弱株,良好,无,无,无,余家镇饶家村,余家镇饶家村,无,无,"避雷针,","其它,",,无,彭川河,2017-05-29,蔡孔瑜,2018-05-04,1 3 2110 0105 100 0250 008 2 1,纪念树,,2018-05-19,,,,
古树,14511,黄葛树,,Ficus virens Ait. var. sublanceolata (Miq.) Corner,桑科,榕属,余家镇,饶家村委会,长五间,乡村,107.9444800,30.8155800,散生,集体,115,115,三级,10,290,11,12,11,305,西南,45,脊部,黄壤,衰弱株,良好,无,无,无,余家镇饶家村,余家镇饶家村,无,无,"避雷针,","其它,",,无,彭川河,2017-05-29,蔡孔瑜,2018-05-04,1 3 2110 0115 100 0290 011 2 1,纪念树,,2018-05-19,,,,
古树,14512,皂荚,,Gleditsia sinensis Lam.,豆科,皂荚属,余家镇,硝水村委会,老院子,乡村,107.8881100,30.8235000,散生,集体,155,155,三级,13,230,8,8,8,925,南,5,脊部,黄壤,正常株,良好,无,无,无,余家镇硝水村,余家镇硝水村,无,无,"避雷针,","其它,",,无,彭川河,2017-05-29,蔡孔瑜,2018-05-04,1 3 0668 0155 130 0230 008 1 1,纪念树,,2018-05-19,,,,
古树,14513,核桃,,Juglans regia L.,胡桃科,胡桃属,余家镇,硝水村委会,老院子,乡村,107.8878200,30.8230000,散生,个人,125,125,三级,10,160,7,7,8,915,南,5,脊部,黄壤,衰弱株,良好,无,无,无,谭华权,谭华权,无,无,"避雷针,","其它,",,无,彭川河,2017-05-29,蔡孔瑜,2018-05-04,1 3 1545 0125 100 0160 007 2 1,纪念树,,2018-05-19,,,,
古树,14514,板栗,,Castanea mollissima Bl.,壳斗科,栗属,余家镇,硝水村委会,老院子,乡村,107.8890600,30.8230100,散生,个人,100,100,三级,10,150,8,8,9,915,南,5,脊部,黄壤,正常株,良好,无,遗漏树木,无,谭发权,谭发权,无,无,"避雷针,","其它,",,无,彭川河,2017-05-29,蔡孔瑜,2018-05-04,1 3 0333 0100 100 0150 008 1 1,纪念树,,2018-05-19,,,,
古树,14515,板栗,,Castanea mollissima Bl.,壳斗科,栗属,余家镇,硝水村委会,老院子,乡村,107.8890400,30.8236400,散生,个人,100,100,三级,4,190,2,2,2,915,南,5,脊部,黄壤,衰弱株,良好,无,遗漏树木,无,谭发古,谭发古,无,无,"避雷针,","其它,",,雷击过,彭川河,2017-05-29,蔡孔瑜,2018-05-04,1 3 0333 0100 040 0190 002 2 1,纪念树,,2018-05-19,,,,
古树,14516,柏木,,Cupressus funebris Endl.,柏科,柏木属,余家镇,硝水村委会,杨德友屋前,乡村,107.9162000,30.8469900,散生,个人,155,155,三级,16,175,9,11,8,890,东南,20,中部,黄壤,正常株,差,植物，周围竹林影响生长,无,无,杨德友,杨德友,无,无,"避雷针,","其它,",,竹林中拍照光线差，旁边是14517号柏木。,彭川河,2017-05-29,蔡孔瑜,2018-05-04,1 3 0684 0155 160 0175 009 1 3,纪念树,,2018-05-19,,,,
古树,14517,柏木,,Cupressus funebris Endl.,柏科,柏木属,余家镇,硝水村委会,杨德友屋前,乡村,107.9162000,30.8469900,散生,个人,155,155,三级,12,130,7,7,8,890,东南,20,中部,黄壤,衰弱株,差,植物，周围竹林影响生长,无,无,杨德友,杨德友,无,无,"避雷针,","其它,",,竹林中拍照光线差。,彭川河,2017-05-29,蔡孔瑜,2018-05-04,1 3 0684 0155 120 0130 007 2 3,纪念树,,2018-05-19,,,,
古树,14518,紫弹树,,Celtis biondii Pamp.,榆科,朴属,余家镇,硝水村委会,潘明祥屋前,乡村,107.9235000,30.8540900,散生,个人,105,105,三级,10,200,7,6,8,915,西南,20,中部,黄壤,正常株,良好,无,无,无,潘明祥,潘明祥,无,无,"避雷针,","其它,",,无,彭川河,2017-05-29,蔡孔瑜,2018-05-04,1 3 1717 0105 100 0200 007 1 1,纪念树,,2018-05-19,,,,
古树,14519,核桃,,Juglans regia L.,胡桃科,胡桃属,余家镇,硝水村委会,凤清江屋前,乡村,107.9356000,30.8575000,散生,个人,125,125,三级,9,250,8,8,8,985,南,20,上部,黄壤,正常株,良好,无,遗漏树木,无,凤清江,凤清江,树干三分枝。,无,"避雷针,","其它,",,无,彭川河,2017-05-29,蔡孔瑜,2018-05-04,1 3 1545 0125 090 0250 008 1 1,纪念树,,2018-05-19,,,,
古树,14520,核桃,,Juglans regia L.,胡桃科,胡桃属,余家镇,硝水村委会,凤清江屋边,乡村,107.9365400,30.8575900,散生,个人,100,100,三级,7,190,5,5,5,985,南,20,上部,黄壤,衰弱株,良好,无,无,无,凤清江,凤清江,无,无,"避雷针,","其它,",,无,彭川河,2017-05-29,蔡孔瑜,2018-05-04,1 3 1545 0100 070 0190 005 2 1,纪念树,,2018-05-19,,,,
古树,14521,黄葛树,,Ficus virens Ait. var. sublanceolata (Miq.) Corner,桑科,榕属,余家镇,铁炉村委会,水口山,乡村,107.9096000,30.8096000,散生,集体,125,125,三级,12,330,10,11,9,470,东北,45,下部,黄壤,衰弱株,差,土壤贫瘠，岩石裸露,无,无,余家镇铁炉村,余家镇铁炉村,树干双分枝,无,"避雷针,","其它,",,无,彭川河,2017-05-30,蔡孔瑜,2018-05-04,1 3 2110 0125 120 0330 010 2 3,纪念树,,2018-05-19,,,,
古树,14522,黄葛树,,Ficus virens Ait. var. sublanceolata (Miq.) Corner,桑科,榕属,余家镇,铁炉村委会,水口山,乡村,107.9096000,30.8096000,散生,集体,125,125,三级,12,300,8,7,10,470,东北,45,下部,黄壤,衰弱株,差,土壤贫瘠，岩石裸露,无,无,余家镇铁炉村,余家镇铁炉村,树干双分枝,无,"避雷针,","其它,",,无,彭川河,2017-05-30,蔡孔瑜,2018-05-04,1 3 2110 0125 120 0300 008 2 3,纪念树,,2018-05-19,,,,
古树,14523,柞木,,Xylosma racemosum (Sieb. Et Zucc.) Miq.,大风子科,柞木属,余家镇,铁炉村委会,干天池,乡村,107.8977100,30.8140000,散生,集体,155,155,三级,8,140,9,9,10,670,西南,20,下部,黄壤,正常株,良好,无,无,无,余家镇铁炉村,余家镇铁炉村,无,无,"避雷针,","其它,",,无,彭川河,2017-05-30,蔡孔瑜,2018-05-04,1 3 1598 0155 080 0140 009 1 1,纪念树,,2018-05-19,,,,
古树,14524,黄葛树,,Ficus virens Ait. var. sublanceolata (Miq.) Corner,桑科,榕属,余家镇,铁炉村委会,垭口,乡村,107.8975100,30.7973000,散生,个人,155,155,三级,10,300,5,5,5,480,东南,20,脊部,黄壤,濒危株,良好,无,无,无,郭德奎,郭德奎,无,无,"避雷针,","其它,",,无,彭川河,2017-05-30,蔡孔瑜,2018-05-04,1 3 2110 0155 100 0300 005 3 1,纪念树,,2018-05-19,,,,
古树,14525,黄葛树,,Ficus virens Ait. var. sublanceolata (Miq.) Corner,桑科,榕属,余家镇,回龙村委会,场街背后,乡村,107.9089000,30.7894000,散生,集体,215,215,三级,12,410,7,8,7,330,无坡向,5,平底,黄壤,濒危株,差,房屋,无,无,余家镇回龙村,余家镇回龙村,无,无,"避雷针,","其它,",,已被砍去另一分枝。房屋围绕不好拍照。,彭川河,2017-05-30,蔡孔瑜,2018-05-04,1 3 2110 0215 120 0410 007 3 3,纪念树,,2018-05-19,,,,
古树,14526,黄葛树,,Ficus virens Ait. var. sublanceolata (Miq.) Corner,桑科,榕属,余家镇,回龙村委会,石坝院子,乡村,107.9062000,30.7851000,散生,个人,215,215,三级,10,520,8,8,8,330,无坡向,5,平底,黄壤,衰弱株,良好,无,无,无,蒋善怀,蒋善怀,无,无,"避雷针,","其它,",,无,彭川河,2017-05-30,蔡孔瑜,2018-05-04,1 3 2110 0215 100 0520 008 2 1,纪念树,,2018-05-19,,,,
古树,14527,黄葛树,,Ficus virens Ait. var. sublanceolata (Miq.) Corner,桑科,榕属,余家镇,张河村委会,谭天贵屋边,乡村,107.9155000,30.7773000,散生,个人,105,105,三级,12,270,12,13,12,505,东,20,脊部,黄壤,正常株,良好,无,无,无,谭天贵,谭天贵,无,无,"避雷针,","其它,",,无,彭川河,2017-05-30,蔡孔瑜,2018-05-04,1 3 2110 0105 120 0270 012 1 1,纪念树,,2018-05-19,,,,
古树,14528,黄葛树,,Ficus virens Ait. var. sublanceolata (Miq.) Corner,桑科,榕属,余家镇,邵家村委会,黄葛树梁,乡村,107.9206000,30.7637000,散生,集体,215,215,三级,11,350,11,12,11,475,南,5,脊部,黄壤,衰弱株,良好,无,无,无,余家镇邵家村,余家镇邵家村,无,无,"避雷针,","其它,",,无,彭川河,2017-05-30,蔡孔瑜,2018-05-04,1 3 2110 0215 110 0350 011 2 1,纪念树,,2018-05-19,,,,
古树,14529,黄葛树,,Ficus virens Ait. var. sublanceolata (Miq.) Corner,桑科,榕属,余家镇,邵家村委会,嘉嘉幼儿园,乡村,107.9191800,30.7644800,散生,集体,205,205,三级,16,660,15,15,16,425,北,5,平底,紫色土,正常株,良好,无,无,无,余家镇邵家村,余家镇邵家村,无,无,"避雷针,","其它,",,无,彭川河,2017-05-30,蔡孔瑜,2018-05-04,1 3 2110 0205 160 0660 015 1 1,纪念树,,2018-05-19,,,,
古树,14531,黄葛树,,Ficus virens Ait. var. sublanceolata (Miq.) Corner,桑科,榕属,余家镇,张河村委会,土地垭口,乡村,107.9091100,30.7691100,散生,集体,215,215,三级,11,410,15,18,12,415,西,5,脊部,黄壤,衰弱株,差,土壤贫瘠，岩石裸露,无,无,余家镇张河村,余家镇张河村,无,无,"避雷针,","其它,",,无,彭川河,2017-05-30,蔡孔瑜,2018-05-04,1 3 2110 0215 110 0410 015 2 3,纪念树,,2018-05-19,,,,
古树,14532,黄葛树,,Ficus virens Ait. var. sublanceolata (Miq.) Corner,桑科,榕属,余家镇,回龙村委会,熊永胜屋前,乡村,107.9282900,30.8066900,散生,集体,255,255,三级,14,560,19,20,18,335,东,5,下部,黄壤,衰弱株,良好,无,无,无,余家镇铁炉村,余家镇铁炉村,无,无,"避雷针,","其它,",,无,彭川河,2017-05-30,蔡孔瑜,2018-05-04,1 3 2110 0255 140 0560 019 2 1,纪念树,,2018-05-19,,,,
古树,14533,黄葛树,,Ficus virens Ait. var. sublanceolata (Miq.) Corner,桑科,榕属,余家镇,桥亭村委会,黄泥垭口,乡村,107.9397700,30.7976600,散生,集体,215,215,三级,12,490,13,13,13,520,东南,5,脊部,黄壤,正常株,良好,无,无,无,余家镇桥亭村,余家镇桥亭村,无,无,"避雷针,","其它,",,无,彭川河,2017-05-30,蔡孔瑜,2018-05-04,1 3 2110 0215 120 0490 013 1 1,纪念树,,2018-05-19,,,,
古树,14534,黄葛树,,Ficus virens Ait. var. sublanceolata (Miq.) Corner,桑科,榕属,余家镇,桥亭村委会,72洞,乡村,107.9583900,30.7955900,散生,集体,165,165,三级,15,410,17,18,16,395,东,5,中部,黄壤,衰弱株,差,土壤贫瘠，岩石裸露,无,无,余家镇桥亭村,余家镇桥亭村,无,无,"避雷针,","其它,",,无,彭川河,2017-05-30,蔡孔瑜,2018-05-04,1 3 2110 0165 150 0410 017 2 3,纪念树,,2018-05-19,,,,
古树,14535,黄葛树,,Ficus virens Ait. var. sublanceolata (Miq.) Corner,桑科,榕属,余家镇,桥亭村委会,72洞,乡村,107.9580100,30.7956000,散生,集体,105,105,三级,14,330,18,19,17,420,北,5,中部,黄壤,衰弱株,良好,无,无,无,余家镇桥亭村,余家镇桥亭村,树干三分枝,无,"避雷针,","其它,",,无,彭川河,2017-05-30,蔡孔瑜,2018-05-04,1 3 2110 0105 140 0330 018 2 1,纪念树,,2018-05-19,,,,
古树,14536,黄葛树,,Ficus virens Ait. var. sublanceolata (Miq.) Corner,桑科,榕属,余家镇,桥亭村委会,杨高权屋后,乡村,107.9510900,30.7949900,散生,集体,155,155,三级,12,410,12,15,9,380,东北,5,中部,黄壤,衰弱株,良好,无,无,无,余家镇桥亭村,余家镇桥亭村,无,无,"避雷针,","其它,",,无,彭川河,2017-05-30,蔡孔瑜,2018-05-04,1 3 2110 0155 120 0410 012 2 1,纪念树,,2018-05-19,,,,
古树,14537,黄葛树,,Ficus virens Ait. var. sublanceolata (Miq.) Corner,桑科,榕属,余家镇,桥亭村委会,黄葛树梁梁,乡村,107.9570100,30.7830100,散生,集体,105,105,三级,9,320,8,8,8,470,西南,5,脊部,黄壤,衰弱株,良好,无,无,无,余家镇桥亭村,余家镇桥亭村,无,无,"避雷针,","其它,",,无,彭川河,2017-05-30,蔡孔瑜,2018-05-04,1 3 2110 0105 090 0320 008 2 1,纪念树,,2018-05-19,,,,
古树,14538,银杏,,Ginkgo biloba Linn.,银杏科,银杏属,余家镇,凤池村委会,肖家屋基,乡村,107.9798900,30.7506900,散生,个人,115,115,三级,21,210,6,7,6,725,东北,5,脊部,紫色土,正常株,良好,无,无,无,谭登凡,谭登凡,无,无,"避雷针,","其它,",,无,彭川河,2017-06-07,蔡孔瑜,2018-05-04,1 3 1533 0115 210 0210 006 1 1,纪念树,,2018-05-19,,,,
古树,14539,枳椇,,Hovenia acerba Lindl.,鼠李科,枳椇属,余家镇,凤池村委会,谭家院子,乡村,107.9857900,30.7548900,散生,个人,205,205,三级,12,180,9,9,10,560,东北,5,中部,黄壤,正常株,良好,无,无,无,谭世忠,谭世忠,无,无,"避雷针,","其它,",,分枝点太高，无法采集标本。,彭川河,2017-06-07,蔡孔瑜,2018-05-04,1 3 1584 0205 120 0180 009 1 1,纪念树,,2018-05-19,,,,
古树,14540,柞木,,Xylosma racemosum (Sieb. Et Zucc.) Miq.,大风子科,柞木属,余家镇,关龙村委会,檬子树垭口,乡村,107.9719900,30.7598900,散生,集体,155,155,三级,10,250,11,12,11,700,无坡向,5,脊部,黄壤,正常株,良好,无,无,无,余家镇关龙村,余家镇关龙村,无,无,"避雷针,","其它,",,无,彭川河,2017-06-07,蔡孔瑜,2018-05-04,1 3 1598 0155 100 0250 011 1 1,纪念树,,2018-05-19,,,,
古树,14541,银杏,,Ginkgo biloba Linn.,银杏科,银杏属,余家镇,万安村委会,镇政府院内,乡村,107.9570700,30.8032600,散生,国有,145,145,三级,20,210,8,8,8,310,西,5,下部,黄壤,正常株,良好,无,无,无,余家镇政府,余家镇政府,无,无,"避雷针,","其它,",,无,彭川河,2017-06-07,蔡孔瑜,2018-05-04,1 3 1533 0145 200 0210 008 1 1,纪念树,,2018-05-19,,,,
古树,14542,银杏,,Ginkgo biloba Linn.,银杏科,银杏属,余家镇,万安村委会,政府院背后,乡村,107.9571900,30.8033900,散生,国有,145,145,三级,20,220,8,8,8,310,西,5,下部,黄壤,正常株,良好,无,无,无,余家镇政府,余家镇政府,无,无,"避雷针,","其它,",,无,彭川河,2017-06-07,蔡孔瑜,2018-05-04,1 3 1533 0145 200 0220 008 1 1,纪念树,,2018-05-19,,,,
古树,14543,黄葛树,,Ficus virens Ait. var. sublanceolata (Miq.) Corner,桑科,榕属,余家镇,万安村委会,老街河边,乡村,107.9548900,30.8083900,散生,集体,165,165,三级,15,410,15,15,16,300,无坡向,5,平底,黄壤,正常株,良好,无,无,无,余家镇老街社区,余家镇老街社区,无,无,"避雷针,","其它,",,无,彭川河,2017-06-07,蔡孔瑜,2018-05-04,1 3 2110 0165 150 0410 015 1 1,纪念树,,2018-05-19,,,,
古树,14544,柿,,Diospyros kaki Thunb.,柿科,柿属,余家镇,硝水村委会,老院子,乡村,107.8891000,30.8230100,散生,个人,100,100,三级,10,130,7,7,8,915,南,20,中部,黄壤,正常株,良好,无,遗漏树木,无,谭发权,谭发权,无,无,"避雷针,","其它,",,无,彭川河,2017-06-07,蔡孔瑜,2018-05-04,1 3 1733 0100 100 0130 007 1 1,纪念树,,2018-05-19,,,,
古树,14545,白蜡树,,Fraxinus chinensis Roxb.,木犀科,梣属,余家镇,硝水村委会,潘明祥屋边,乡村,107.9245100,30.8541800,散生,个人,100,100,三级,3.5,190,4,5,4,915,南,20,中部,黄壤,衰弱株,良好,无,遗漏树木,无,潘明祥,潘明祥,无,无,"避雷针,","其它,",,火烧过,彭川河,2017-06-07,蔡孔瑜,2018-05-04,1 3 1587 0100 035 0190 004 2 1,纪念树,,2018-05-19,,,,
古树,14546,核桃,,Juglans regia L.,胡桃科,胡桃属,余家镇,硝水村委会,潘明祥房前,乡村,107.9246800,30.8541600,散生,个人,100,100,三级,11,180,8,7,9,915,南,20,中部,黄壤,正常株,良好,无,遗漏树木,无,潘明祥,潘明祥,无,无,"避雷针,","其它,",,无,彭川河,2017-06-07,蔡孔瑜,2018-05-04,1 3 1545 0100 110 0180 008 1 1,纪念树,,2018-05-19,,,,
古树,14547,核桃,,Juglans regia L.,胡桃科,胡桃属,余家镇,硝水村委会,潘明祥房前,乡村,107.9246800,30.8541600,散生,个人,100,100,三级,11,180,8,6,10,915,南,20,中部,黄壤,正常株,良好,无,遗漏树木,无,潘明祥,潘明祥,无,无,"避雷针,","其它,",,无,彭川河,2017-06-07,蔡孔瑜,2018-05-04,1 3 1545 0100 110 0180 008 1 1,纪念树,,2018-05-19,,,,
古树,14548,杏,,Armeniaca vulgaris Lam.,蔷薇科,杏属,余家镇,硝水村委会,潘明祥房前,乡村,107.9247100,30.8541100,散生,个人,100,100,三级,10,180,11,11,11,915,南,20,中部,黄壤,衰弱株,良好,无,遗漏树木,无,潘明祥,潘明祥,无,无,"避雷针,","其它,",,太阳光线太强，不好拍照。实为杏树。,彭川河,2017-06-07,蔡孔瑜,2018-05-04,1 3 1552 0100 100 0180 011 2 1,纪念树,,2018-05-19,,,,
古树,14549,柿,,Diospyros kaki Thunb.,柿科,柿属,余家镇,硝水村委会,陈保兴房前,乡村,107.9251800,30.8538200,散生,个人,100,100,三级,10,160,5,5,5,915,南,20,中部,黄壤,正常株,良好,无,遗漏树木,无,陈保兴,陈保兴,无,无,"避雷针,","其它,",,无,彭川河,2017-06-07,蔡孔瑜,2018-05-04,1 3 1733 0100 100 0160 005 1 1,纪念树,,2018-05-19,,,,
古树,14550,黄葛树,,Ficus virens Ait. var. sublanceolata (Miq.) Corner,桑科,榕属,余家镇,万安村委会,杨生文屋后,乡村,107.9624900,30.8115900,散生,集体,155,155,三级,13,280,12,13,11,475,西,20,上部,黄壤,衰弱株,良好,无,无,无,余家镇万安村,余家镇万安村,无,无,"避雷针,","其它,",,无,彭川河,2017-06-07,蔡孔瑜,2018-05-04,1 3 2110 0155 130 0280 012 2 1,纪念树,,2018-05-19,,,,
古树,14551,黄葛树,,Ficus virens Ait. var. sublanceolata (Miq.) Corner,桑科,榕属,余家镇,万安村委会,黄葛树下,乡村,107.9605900,30.8055900,散生,集体,215,215,三级,16,510,12,13,11,350,南,20,中部,黄壤,衰弱株,良好,无,无,无,余家镇万安村,余家镇万安村,无,无,"避雷针,","其它,",,无,彭川河,2017-06-07,蔡孔瑜,2018-05-04,1 3 2110 0215 160 0510 012 2 1,纪念树,,2018-05-19,,,,
古树,14552,黄葛树,,Ficus virens Ait. var. sublanceolata (Miq.) Corner,桑科,榕属,余家镇,安平村委会,梯子湾,乡村,107.9998900,30.8067900,散生,集体,155,155,三级,10,310,15,16,15,490,南,20,上部,黄壤,正常株,良好,无,无,无,余家镇安平村,余家镇安平村,无,无,"避雷针,","其它,",,无,彭川河,2017-06-07,蔡孔瑜,2018-05-04,1 3 2110 0155 100 0310 015 1 1,纪念树,,2018-05-19,,,,
古树,14601,银杏,,Ginkgo biloba Linn.,银杏科,银杏属,后山镇,铁厂村委会,赵家粱,乡村,108.1474100,30.8321000,散生,集体,205,205,三级,21,480,11,10,12,850,西北,20,中部,黄壤,正常株,良好,无,无,无,后山镇铁厂村,后山镇铁厂村,无,无,"避雷针,","其它,",,无,彭川河,2017-05-08,蔡孔瑜,2018-05-04,1 3 1533 0205 210 0480 011 1 1,纪念树,,2018-05-19,,,,
古树,14602,柞木,,Xylosma racemosum (Sieb. Et Zucc.) Miq.,大风子科,柞木属,后山镇,天缘村委会,田坝,乡村,108.1072100,30.8173000,散生,集体,205,205,三级,18,180,8,8,8,815,西北,5,下部,黄壤,正常株,良好,无,无,无,后山镇天缘村,后山镇天缘村,无,无,"避雷针,","其它,",,无,彭川河,2017-05-08,蔡孔瑜,2018-05-04,1 3 1598 0205 180 0180 008 1 1,纪念树,,2018-05-19,,,,
古树,14603,柏木,,Cupressus funebris Endl.,柏科,柏木属,后山镇,沐河村委会,张家坡,乡村,108.0888000,30.8467000,散生,集体,125,125,三级,20,190,6,5,7,605,西北,20,中部,黄壤,正常株,良好,无,无,无,后山镇沐河村,后山镇沐河村,无,无,"避雷针,","其它,",,无,彭川河,2017-05-08,蔡孔瑜,2018-05-04,1 3 0684 0125 200 0190 006 1 1,纪念树,,2018-05-19,,,,
古树,14604,柏木,,Cupressus funebris Endl.,柏科,柏木属,后山镇,沐河村委会,张家坡,乡村,108.0888000,30.8467000,散生,集体,125,125,三级,15,170,7,6,8,605,西北,20,中部,黄壤,正常株,良好,无,无,无,后山镇沐河村,后山镇沐河村,无,无,"避雷针,","其它,",,无,彭川河,2017-05-08,蔡孔瑜,2018-05-04,1 3 0684 0125 150 0170 007 1 1,纪念树,,2018-05-19,,,,
古树,14605,黄葛树,,Ficus virens Ait. var. sublanceolata (Miq.) Corner,桑科,榕属,后山镇,紫云村委会,烟包梁,乡村,107.9973900,30.8339800,散生,集体,155,155,三级,11,360,14,16,13,355,南,20,脊部,黄壤,衰弱株,良好,无,无,无,后山镇紫云村,后山镇紫云村,无,无,"避雷针,","其它,",,无,彭川河,2017-05-15,蔡孔瑜,2018-05-04,1 3 2110 0155 110 0360 014 2 1,纪念树,,2018-05-19,,,,
古树,14606,柏木,,Cupressus funebris Endl.,柏科,柏木属,后山镇,天顺村委会,康家坝,乡村,108.0574000,30.7980000,散生,集体,125,125,三级,19,130,4,4,5,625,北,5,平底,黄壤,正常株,良好,无,无,无,后山镇天顺村,后山镇天顺村,无,无,"避雷针,","其它,",,无,彭川河,2017-05-26,蔡孔瑜,2018-05-04,1 3 0684 0125 190 0130 004 1 1,纪念树,,2018-05-19,,,,
古树,14607,柏木,,Cupressus funebris Endl.,柏科,柏木属,后山镇,天顺村委会,康家坝,乡村,108.0569900,30.7979900,散生,集体,125,125,三级,21,135,5,5,5,520,北,5,平底,黄壤,正常株,良好,无,无,无,后山镇天顺村,后山镇天顺村,无,无,"避雷针,","其它,",,无,彭川河,2017-05-26,蔡孔瑜,2018-05-04,1 3 0684 0125 210 0135 005 1 1,纪念树,,2018-05-19,,,,
古树,14608,桂花,,Osmanthus fragrans (Thunb.) Lour.,木犀科,木犀属,后山镇,天顺村委会,桂花桥,乡村,108.0646900,30.7982000,散生,集体,205,205,三级,13,250,9,10,8,535,北,5,下部,黄壤,衰弱株,良好,无,无,无,后山镇天顺村,后山镇天顺村,无,无,"避雷针,","其它,",,里面一株是黄莲木，树众中不好拍照。,彭川河,2017-05-26,蔡孔瑜,2018-05-04,1 3 1591 0205 130 0250 009 2 1,纪念树,,2018-05-19,,,,
