古树名木类别,调查号,树种中文名,消失古树,树种拉丁名,科,属,乡镇名称,村名称,小地名,位置,横坐标,纵坐标,分布,权属,真实树龄,估测树龄,古树等级,树高,胸围,平均冠幅,东西冠幅,南北冠幅,海拔,坡向,坡度,坡位,土壤名称,生长势,生长环境,影响生长环境因素,现存状态,古树历史,管护人单位,管护人,树木特殊状况描述,树种鉴定记载,地上保护现状,养护复壮现状,照片（照片名称，逗号分隔）,图片说明,调查人,调查日期,审核人,审核日期,特征编码,名木类别,名木栽植人,名木栽植时间,备注,,,
古树,02003,黄葛树,,Ficus virens Ait. var. sublanceolata (Miq.) Corner,桑科,榕属,龙都街道,大塘边社区居委会,红旗河沟,城区,108.4122000,30.7669000,散生,国有,405,405,二级,16,230,17,16,18,200,东,5,下部,紫色土,正常株,良好,无,无,无,区园林处,区园林处,无,无,"避雷针,","其它,",,无,谭述兵,2017-05-08,蔡孔瑜,2018-05-04,1 2 2110 0405 160 0230 017 1 1,纪念树,,2018-05-18,,,,
古树,02004,黄葛树,,Ficus virens Ait. var. sublanceolata (Miq.) Corner,桑科,榕属,龙都街道,大塘边社区居委会,滚装船车坝,城区,108.4139000,30.7625000,散生,国有,405,405,二级,14,300,19,18,21,195,东,5,下部,紫色土,正常株,良好,无,无,无,区园林处,区园林处,无,无,"避雷针,","其它,",,无,谭述兵,2017-05-08,蔡孔瑜,2018-05-04,1 2 2110 0405 140 0300 019 1 1,纪念树,,2018-05-18,,,,
古树,02005,黄葛树,,Ficus virens Ait. var. sublanceolata (Miq.) Corner,桑科,榕属,龙都街道,大塘边社区居委会,龙宝镇政府,城区,108.3889000,30.7633000,散生,国有,305,305,二级,15,320,18,19,17,200,东南,5,下部,紫色土,正常株,良好,无,无,无,区园林处,区园林处,无,无,"避雷针,","其它,",,无,谭述兵,2017-05-08,蔡孔瑜,2018-05-04,1 2 2110 0305 150 0320 018 1 1,纪念树,,2018-05-18,,,,
古树,02121,黄葛树,,Ficus virens Ait. var. sublanceolata (Miq.) Corner,桑科,榕属,周家坝街道,映水坪居委会,快活岭,城区,108.3661200,30.8257400,散生,国有,305,305,二级,22,230,10,12,8,240,南,5,脊部,紫色土,正常株,良好,无,无,无,区园林处,区园林处,无,无,"避雷针,","其它,",,无,谭述兵,2017-05-08,蔡孔瑜,2018-05-04,1 2 2110 0305 220 0230 010 1 1,纪念树,,2018-05-18,,,,
古树,02334,黄葛树,,Ficus virens Ait. var. sublanceolata (Miq.) Corner,桑科,榕属,钟鼓楼街道,棉花地居委会,北山观,城区,108.3797000,30.8251900,散生,国有,305,305,二级,9,365,18,19,18,220,东南,5,下部,紫色土,正常株,良好,无,无,无,区园林处,区园林处,无,无,"避雷针,","其它,",,无,谭述兵,2017-05-12,蔡孔瑜,2018-05-04,1 2 2110 0305 090 0365 018 1 1,纪念树,,2018-05-18,,,,
古树,02342,黄葛树,,Ficus virens Ait. var. sublanceolata (Miq.) Corner,桑科,榕属,钟鼓楼街道,棉花地居委会,石安洞73号,城区,108.3790500,30.8308800,散生,国有,305,305,二级,19,385,13,12,15,350,西,5,脊部,紫色土,正常株,良好,无,无,无,区园林处,区园林处,无,无,"避雷针,","其它,",,无,谭述兵,2017-05-13,蔡孔瑜,2018-05-04,1 2 2110 0305 190 0385 013 1 1,纪念树,,2018-05-18,,,,
古树,02354,黄葛树,,Ficus virens Ait. var. sublanceolata (Miq.) Corner,桑科,榕属,钟鼓楼街道,桑树居委会,桑树坪,城区,108.4133000,30.8406400,散生,国有,305,305,二级,17,225,12,9,15,285,南,5,脊部,紫色土,正常株,良好,无,无,无,区园林处,区园林处,无,无,"避雷针,","其它,",,无,谭述兵,2017-05-14,蔡孔瑜,2018-05-04,1 2 2110 0305 170 0225 012 1 1,纪念树,,2018-05-19,,,,
古树,02501,黄葛树,,Ficus virens Ait. var. sublanceolata (Miq.) Corner,桑科,榕属,五桥街道,五间桥社区居委会,薄道梁,城区,108.4424700,30.7770200,散生,集体,300,300,二级,12,535,11,12,11,255,东南,5,下部,紫色土,衰弱株,良好,房屋,无,无,五桥街道五间桥社区,五桥街道五间桥社区,无,无,"避雷针,","其它,",,无,熊国鹏,2017-05-09,蔡孔瑜,2018-05-04,1 2 2110 0300 120 0535 011 2 1,纪念树,,2018-05-19,,,,
古树,02502,黄葛树,,Ficus virens Ait. var. sublanceolata (Miq.) Corner,桑科,榕属,五桥街道,香炉山社区居委会,香炉山,城区,108.4422000,30.7739000,散生,国有,300,300,二级,8,265,6,7,6,260,南,5,平底,紫色土,衰弱株,良好,虫害,无,无,区园林处,区园林处,无,无,"避雷针,","其它,",,树已截干,熊国鹏,2017-05-09,蔡孔瑜,2018-05-04,1 2 2110 0300 080 0265 006 2 1,纪念树,,2018-05-19,,,,
古树,02503,黄葛树,,Ficus virens Ait. var. sublanceolata (Miq.) Corner,桑科,榕属,五桥街道,香炉山社区居委会,香炉山,城区,108.4403200,30.7734200,散生,国有,300,300,二级,6,285,7,8,6,275,西,5,平底,紫色土,衰弱株,良好,虫害,无,无,区园林处,区园林处,无,无,"避雷针,","其它,",,树已截干,熊国鹏,2017-05-09,蔡孔瑜,2018-05-04,1 2 2110 0300 060 0285 007 2 1,纪念树,,2018-05-19,,,,
古树,02606,黄葛树,,Ficus virens Ait. var. sublanceolata (Miq.) Corner,桑科,榕属,陈家坝街道,陈家坝社区居委会,区政府后面,城区,108.4053800,30.8080700,散生,国有,305,305,二级,17,680,15,14,16,320,东,5,中部,紫色土,正常株,良好,无,无,无,区园林处,区园林处,无,无,"避雷针,","其它,",,无,熊国鹏,2017-06-11,蔡孔瑜,2018-05-06,1 2 2110 0305 170 0680 015 1 1,纪念树,,2018-05-19,,,,
古树,02607,黄葛树,,Ficus virens Ait. var. sublanceolata (Miq.) Corner,桑科,榕属,陈家坝街道,南山社区居委会,南山公圆内,城区,108.4088600,30.8211500,散生,国有,405,405,二级,13,565,7,7,8,230,西北,5,下部,紫色土,正常株,良好,无,无,无,区园林处,区园林处,无,无,"避雷针,","其它,",,无,谭述兵,2017-05-08,蔡孔瑜,2018-05-06,1 2 2110 0405 130 0565 007 1 1,纪念树,,2018-05-19,,,,
古树,02608,黄葛树,,Ficus virens Ait. var. sublanceolata (Miq.) Corner,桑科,榕属,陈家坝街道,南山社区居委会,南山公圆内,城区,108.4096600,30.8194700,散生,国有,405,405,二级,15,690,5,6,5,300,西北,5,下部,紫色土,正常株,良好,无,无,无,区园林处,区园林处,无,无,"避雷针,","其它,",,无,谭述兵,2017-05-08,蔡孔瑜,2018-05-06,1 2 2110 0405 150 0690 005 1 1,纪念树,,2018-05-19,,,,
古树,11008,黄葛树,,Ficus virens Ait. var. sublanceolata (Miq.) Corner,桑科,榕属,大周镇,五土村委会,高石咀,乡村,108.5006100,30.9147200,散生,集体,315,315,二级,13,700,20,20,20,222,东,5,下部,紫色土,衰弱株,良好,无,无,无,大周镇五土村,大周镇五土村,树干双分枝。,无,"避雷针,","其它,",,新移栽来的,谭述兵,2017-04-26,蔡孔瑜,2018-05-06,1 2 2110 0315 130 0700 020 2 1,纪念树,,2018-05-19,,,,
古树,11009,黄葛树,,Ficus virens Ait. var. sublanceolata (Miq.) Corner,桑科,榕属,大周镇,五土村委会,小石盘,乡村,108.5006100,30.9106100,散生,集体,315,315,二级,10,510,12,12,12,200,东,5,下部,紫色土,衰弱株,良好,无,无,无,大周镇五土村,大周镇五土村,树干双分枝,无,"避雷针,","其它,",,新移栽来的,谭述兵,2017-04-26,蔡孔瑜,2018-05-06,1 2 2110 0315 100 0510 012 2 1,纪念树,,2018-05-19,,,,
古树,13402,黄葛树,,Ficus virens Ait. var. sublanceolata (Miq.) Corner,桑科,榕属,高峰镇,朝阳村委会,黄葛坝,乡村,108.3682700,30.6806400,散生,集体,300,300,二级,13,650,17,17,18,330,东,5,中部,紫色土,正常株,良好,无,无,无,高峰镇朝阳村4组,高峰镇朝阳村4组,无,无,"避雷针,","其它,",,从土地咀移植到这里，距离只有200米,蒲昌明,2017-05-17,蔡孔瑜,2018-05-06,1 2 2110 0300 130 0650 017 1 1,纪念树,,2018-05-19,,,,
古树,13403,黄葛树,,Ficus virens Ait. var. sublanceolata (Miq.) Corner,桑科,榕属,高峰镇,朝阳村委会,黄葛坝,乡村,108.3683600,30.6806700,散生,集体,300,300,二级,12,345,13,12,14,330,东,5,平底,紫色土,正常株,良好,无,无,无,高峰镇朝阳村4组,高峰镇朝阳村4组,无,无,"避雷针,","其它,",,上次调查遗漏,蒲昌明,2017-05-17,蔡孔瑜,2018-05-06,1 2 2110 0300 120 0345 013 1 1,纪念树,,2018-05-19,,,,
古树,13404,黄葛树,,Ficus virens Ait. var. sublanceolata (Miq.) Corner,桑科,榕属,高峰镇,朝阳村委会,黄葛坝,乡村,108.3683600,30.6806700,散生,集体,300,300,二级,12,126,10,11,10,330,东,5,中部,紫色土,正常株,良好,无,无,无,高峰镇朝阳村4组,高峰镇朝阳村4组,无,无,"避雷针,","其它,",,无,蒲昌明,2017-05-17,蔡孔瑜,2018-05-06,1 2 2110 0300 120 0126 010 1 1,纪念树,,2018-05-19,,,,
古树,13409,黄葛树,,Ficus virens Ait. var. sublanceolata (Miq.) Corner,桑科,榕属,高峰镇,赵家村委会,招财湾,乡村,108.3537000,30.6773800,散生,集体,300,300,二级,9,455,12,12,12,395,南,5,下部,紫色土,正常株,良好,无,无,无,高峰镇赵家村6组,高峰镇赵家村6组,无,无,"避雷针,","其它,",,2011年调查，无号牌,蒲昌明,2017-05-18,蔡孔瑜,2018-05-06,1 2 2110 0300 090 0455 012 1 1,纪念树,,2018-05-19,,,,
古树,13703,黄葛树,,Ficus virens Ait. var. sublanceolata (Miq.) Corner,桑科,榕属,武陵镇,禹安村委会,槽门,乡村,108.2394100,30.4656300,散生,集体,300,300,二级,11,390,10,12,9,225,西南,10,下部,紫色土,正常株,良好,虫害，地下潮湿有流水！,无,无,武陵镇禹安村10组,武陵镇禹安村10组,无,无,"避雷针,","其它,",,无,熊国鹏,2017-05-14,蔡孔瑜,2018-05-04,1 2 2110 0300 110 0390 010 1 1,纪念树,,2018-05-19,,,,
古树,13722,黄葛树,,Ficus virens Ait. var. sublanceolata (Miq.) Corner,桑科,榕属,武陵镇,禹安村委会,连二林,乡村,108.2422400,30.5060500,散生,集体,300,300,二级,15,640,17,18,17,255,东,5,平底,紫色土,正常株,良好,无,无,无,武陵镇禹安村36组,武陵镇禹安村36组,无,无,"避雷针,","其它,",,树干四米处分成三枝！,熊国鹏,2017-05-20,蔡孔瑜,2018-05-04,1 2 2110 0300 150 0640 017 1 1,纪念树,,2018-05-19,,,,
古树,13730,黄葛树,,Ficus virens Ait. var. sublanceolata (Miq.) Corner,桑科,榕属,武陵镇,红谷村委会,罗告湾,乡村,108.2296400,30.5238500,散生,集体,305,305,二级,16,770,16,17,16,440,北,5,下部,黄壤,正常株,良好,植物缠绕树干,无,无,武陵镇红谷村19组,武陵镇红谷村19组,无,无,"避雷针,","其它,",,无,熊国鹏,2017-05-20,蔡孔瑜,2018-05-04,1 2 2110 0305 160 0770 016 1 1,纪念树,,2018-05-19,,,,
古树,13809,黄葛树,,Ficus virens Ait. var. sublanceolata (Miq.) Corner,桑科,榕属,瀼渡镇,河溪村委会,大梁院子,乡村,108.2897100,30.5607300,散生,集体,315,315,二级,20,910,32,32,32,335,无坡向,5,平底,黄壤,正常株,良好,无,无,无,瀼渡镇河溪村2组,瀼渡镇河溪村2组,无,无,"避雷针,","其它,",,无,熊国鹏,2017-06-17,蔡孔瑜,2018-05-04,1 2 2110 0315 200 0910 032 1 1,纪念树,,2018-05-19,,,,
古树,13810,黄葛树,,Ficus virens Ait. var. sublanceolata (Miq.) Corner,桑科,榕属,瀼渡镇,河溪村委会,大梁院子,乡村,108.2910800,30.5604600,散生,集体,300,300,二级,20,755,24,24,24,290,北,5,上部,黄壤,正常株,良好,无,无,无,瀼渡镇河溪村2组,瀼渡镇河溪村2组,无,无,"避雷针,","其它,",,无,熊国鹏,2017-06-17,蔡孔瑜,2018-05-04,1 2 2110 0300 200 0755 024 1 1,纪念树,,2018-05-19,,,,
古树,13824,黄葛树,,Ficus virens Ait. var. sublanceolata (Miq.) Corner,桑科,榕属,瀼渡镇,炉头村委会,深田子,乡村,108.2905600,30.5750300,散生,集体,300,300,二级,18,640,20,20,20,420,南,5,中部,紫色土,正常株,良好,无,无,无,瀼渡镇炉头村5组,瀼渡镇炉头村5组,无,无,"封堵树洞,","其它,",,无,熊国鹏,2017-06-17,蔡孔瑜,2018-05-04,1 2 2110 0300 180 0640 020 1 1,纪念树,,2018-05-19,,,,
古树,13901,黄葛树,,Ficus virens Ait. var. sublanceolata (Miq.) Corner,桑科,榕属,甘宁镇,烟坡村委会,庙岩,乡村,108.2871000,30.6277100,散生,集体,300,300,二级,18,415,14,15,14,325,西南,5,脊部,紫色土,正常株,良好,无,无,无,甘宁镇烟坡村,甘宁镇烟坡村,根部分成两株！,无,"避雷针,","其它,",,2011年调查过，没有号牌,蒲昌明,2017-05-17,蔡孔瑜,2018-05-06,1 2 2110 0300 180 0415 014 1 1,纪念树,,2018-05-19,,,,
古树,13902,黄葛树,,Ficus virens Ait. var. sublanceolata (Miq.) Corner,桑科,榕属,甘宁镇,烟坡村委会,学堂,乡村,108.2902700,30.6278900,散生,集体,300,300,二级,18,540,22,24,20,415,西,5,中部,紫色土,正常株,良好,无,无,无,甘宁镇烟坡村,甘宁镇烟坡村,无,无,"避雷针,","其它,",,2011年调查过，没有号牌,蒲昌明,2017-05-17,蔡孔瑜,2018-05-06,1 2 2110 0300 180 0540 022 1 1,纪念树,,2018-05-19,,,,
古树,13903,黄葛树,,Ficus virens Ait. var. sublanceolata (Miq.) Corner,桑科,榕属,甘宁镇,烟坡村委会,上院子,乡村,108.2909500,30.6273400,散生,集体,300,300,二级,19,695,19,20,18,375,西,5,脊部,紫色土,正常株,良好,无,无,无,甘宁镇烟坡村,甘宁镇烟坡村,无,无,"砌树池,","其它,",,己挂牌0929号,蒲昌明,2017-05-17,蔡孔瑜,2018-05-06,1 2 2110 0300 190 0695 019 1 1,纪念树,,2018-05-19,,,,
古树,13909,黄葛树,,Ficus virens Ait. var. sublanceolata (Miq.) Corner,桑科,榕属,甘宁镇,围灯村委会,花石板,乡村,108.3217300,30.6560600,散生,集体,300,300,二级,14,610,16,17,16,305,无坡向,5,平底,紫色土,衰弱株,良好,无,无,无,甘宁镇围灯村,甘宁镇围灯村,无,无,"避雷针,","其它,",,2011年调查过，没有号牌,蒲昌明,2017-05-16,蔡孔瑜,2018-05-06,1 2 2110 0300 140 0610 016 2 1,纪念树,,2018-05-19,,,,
古树,13915,黄葛树,,Ficus virens Ait. var. sublanceolata (Miq.) Corner,桑科,榕属,甘宁镇,二屯村委会,庙坝,乡村,108.3376700,30.6575000,散生,集体,300,300,二级,14,350,16,17,16,325,东南,5,下部,紫色土,正常株,良好,无,无,无,甘宁镇二屯村,甘宁镇二屯村,无,无,"砌树池,","其它,",,树尖己断,谭述兵,2017-06-01,蔡孔瑜,2018-05-06,1 2 2110 0300 140 0350 016 1 1,纪念树,,2018-05-19,,,,
古树,13916,黄葛树,,Ficus virens Ait. var. sublanceolata (Miq.) Corner,桑科,榕属,甘宁镇,二屯村委会,牛屎塘湾,乡村,108.3385200,30.6560800,散生,集体,300,300,二级,17,540,20,21,20,330,西,5,下部,紫色土,正常株,良好,无,无,无,甘宁镇二屯村,甘宁镇二屯村,无,无,"封堵树洞,","其它,",,无,彭川河,2017-04-27,蔡孔瑜,2018-05-06,1 2 2110 0300 170 0540 020 1 1,纪念树,,2018-05-19,,,,
古树,13917,黄葛树,,Ficus virens Ait. var. sublanceolata (Miq.) Corner,桑科,榕属,甘宁镇,二屯村委会,庙坝小学,乡村,108.3350000,30.6536100,散生,集体,300,300,二级,17,510,13,15,12,310,无坡向,5,平底,紫色土,正常株,良好,虫害,无,无,甘宁镇二屯村,甘宁镇二屯村,无,无,"避雷针,","其它,",,无,彭川河,2017-04-27,蔡孔瑜,2018-05-06,1 2 2110 0300 170 0510 013 1 1,纪念树,,2018-05-19,,,,
古树,14012,黄葛树,,Ficus virens Ait. var. sublanceolata (Miq.) Corner,桑科,榕属,天城镇,工农村委会,竹丘子,乡村,108.3342600,30.8801800,散生,集体,300,300,二级,18,650,17,18,16,570,东南,10,中部,紫色土,正常株,良好,无,无,无,天城镇工农村3组,天城镇工农村3组,无,无,"避雷针,","其它,",,无,熊国鹏,2017-04-29,蔡孔瑜,2018-05-04,1 2 2110 0300 180 0650 017 1 1,纪念树,,2018-05-19,,,,
古树,14025,黄葛树,,Ficus virens Ait. var. sublanceolata (Miq.) Corner,桑科,榕属,天城镇,傅沟村委会,红川主庙,乡村,108.4035900,30.9130500,散生,集体,300,300,二级,19,620,15,16,15,400,西南,5,下部,紫色土,正常株,良好,无,无,无,天城镇付沟村7组,天城镇付沟村7组,无,无,"避雷针,","其它,",,无,熊国鹏,2017-06-16,蔡孔瑜,2018-05-04,1 2 2110 0300 190 0620 015 1 1,纪念树,,2018-05-19,,,,
